obsah,datum
"Dňa 15.03.2024 bol v MPK zverejnený návrh zákona, ktorého cieľom je doplniť prílohu č. 1 zákona č. 139/1998 Z. z. o omamných látkach, psychotropných látkach a prípravkoch v znení...[Nelegislatívny materiál/Zameranie dvojstrannej rozvojovej spolupráce SR na rok 2024](/?ros_monitoring_aktuality&sprava=nelegislativny-material-zameranie-dvojstrannej-rozvojovej-spoluprace-sr-na-rok-2024)",18. 03. 2024
"Dňa 11.03.2024 bol v MPK zverejnený Návrh smernice Európskeho parlamentu a Rady, ktorou sa ustanovujú minimálne pravidlá predchádzania uľahčovaniu neoprávneného vstupu, tranzitu a pobytu v Únii a&nbsp...[MPK/Správa o vykonávaní medzinárodných zmlúv](/?ros_monitoring_aktuality&sprava=mpk-sprava-o-vykonavani-medzinarodnych-zmluv)",18. 03. 2024
"Dňa 06.03.2024 vláda schválila Návrh nariadenia vlády Slovenskej republiky, ktorým sa mení a dopĺňa nariadenie vlády Slovenskej republiky č. 755/2004 Z. z.,...[Nelegislatívny materiál/Správa o pokroku v implementácii Plánu obnovy a odolnosti Slovenskej republiky](/?ros_monitoring_aktuality&sprava=nelegislativny-material-sprava-o-pokroku-v-implementacii-planu-obnovy-a-odolnosti-slovenskej-republiky)",18. 03. 2024
Dňa 06.03.2024 vláda schválila Správu o pokroku v implementácii Plánu obnovy a odolnosti Slovenskej republiky...[Nelegislatívny materiál/Správa o členstve SR v EU za rok 2023](/?ros_monitoring_aktuality&sprava=nelegislativny-material-sprava-o-clenstve-sr-v-eu-za-rok-2023),18. 03. 2024
Dňa 06.03.2024 vláda schválila Výročnú správu o členstve Slovenskej republiky v Európskej únii za rok 2023. Cieľom správy je...[MPK/Správa o plnení úloh vyplývajúcich z Koncepcie väzenstva 2022 - 2030](/?ros_monitoring_aktuality&sprava=mpk-sprava-o-plneni-uloh-vyplyvajucich-z-koncepcie-vazenstva-2022-2030),18. 03. 2024
"Dňa 05.03.2024 bol v MPK zverejnený poslanecký návrh zákona, ktorým sa mení a dopĺňa zákon č. 49/2002 Z. z. o ochrane pamiatkového fondu v znení neskorších predpisov. Návrhom zákona sa predlžuje&nbsp...[MPK/Dobré životné podmienky psov a mačiek](/?ros_monitoring_aktuality&sprava=mpk-dobre-zivotne-podmienky-psov-a-maciek)",11. 03. 2024
Dňa 07.03.2024 bol v MPK zverejnený návrh riadneho predbežného stanoviska k Nariadeniu EP a Rady o dobrých životných podmienkach psov a mačiek a o ich...[MPK/Ochrana detí v digitálnom priestore](/?ros_monitoring_aktuality&sprava=mpk-ochrana-deti-v-digitalnom-priestore),11. 03. 2024
"Dňa 05.03.2024 bol v MPK zverejnený návrh na zrušenie úlohy pre ministra práce, a to pripraviť Akčný plán na podporu rodiny a demografického vývoja v SR 2022-2030 z dôvodu duplicity...[MPK/Návrh na zrušenie niektorých úloh z uznesení vlády](/?ros_monitoring_aktuality&sprava=mpk-navrh-na-zrusenie-niektorych-uloh-z-uzneseni-vlady)",11. 03. 2024
"Dňa 01.03.2024 bola zverejnená predbežná informácia k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa mení a dopĺňa vyhláška Úradu pre reguláciu...[MPK/Posilnenie kompetencie splnomocnenca vlády SR pre národnostné menšiny](/?ros_monitoring_aktuality&sprava=mpk-posilnenie-kompetencie-splnomocnenca-vlady-sr-pre-narodnostne-mensiny)",11. 03. 2024
Dňa 07.03.2024 bol v MPK zverejnený návrh Štatútu splnomocnenca vlády Slovenskej republiky pre národnostné menšiny Úradom vlády Slovenskej republiky. Cieľom návrhu štatútu splnomocnenca je posilniť kompetencie...[PI/ÚRSO II – Štandardy kvality dodávky pitnej vody](/?ros_monitoring_aktuality&sprava=pi-urso-ii-standardy-kvality-dodavky-pitnej-vody),11. 03. 2024
